username,repo_name,stars,repo_url
mrdoob,three.js,754000,github.com/mrdoob/three.js
libgdx,libgdx,192000,github.com/libgdx/libgdx
pmndrs,react-three-fiber,155000,github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,152000,github.com/BabylonJS/Babylon.js
aframevr,aframe,132000,github.com/aframevr/aframe
ssloy,tinyrenderer,116000,github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,114000,github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,101000,github.com/FreeCAD/FreeCAD
metafizzy,zdog,88000,github.com/metafizzy/zdog
CesiumGS,cesium,77000,github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,72000,github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,69000,github.com/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,57000,github.com/isl-org/Open3D
spritejs,spritejs,47000,github.com/spritejs/spritejs
domlysz,BlenderGIS,45000,github.com/domlysz/BlenderGIS
tensorspace-team,tensorspace,45000,github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,45000,github.com/jagenjo/webglstudio.js
YadiraF,PRNet,44000,github.com/YadiraF/PRNet
AaronJackson,vrn,44000,github.com/AaronJackson/vrn
openscad,openscad,44000,github.com/openscad/openscad
ssloy,tinyraytracer,39000,github.com/ssloy/tinyraytracer
mosra,magnum,37000,github.com/mosra/magnum
blender,blender,37000,github.com/blender/blender
google,model-viewer,36000,github.com/google/model-viewer
gfxfundamentals,webgl-fundamentals,32000,github.com/gfxfundamentals/webgl-fundamentals
cleardusk,3DDFA,31000,github.com/cleardusk/3DDFA
jasonlong,isometric-contributions,31000,github.com/jasonlong/isometric-contributions
rg3dengine,rg3d,29000,github.com/rg3dengine/rg3d
cnr-isti-vclab,meshlab,25000,github.com/cnr-isti-vclab/meshlab
antvis,L7,25000,github.com/antvis/L7
