username,repo_name,stars,repo_url
public-apis,public-apis,1670000,github.com/public-apis/public-apis
httpie,httpie,526000,github.com/httpie/httpie
neovim,neovim,483000,github.com/neovim/neovim
strapi,strapi,407000,github.com/strapi/strapi
tiangolo,fastapi,376000,github.com/tiangolo/fastapi
slatedocs,slate,333000,github.com/slatedocs/slate
hoppscotch,hoppscotch,325000,github.com/hoppscotch/hoppscotch
hasura,graphql-engine,244000,github.com/hasura/graphql-engine
YMFE,yapi,229000,github.com/YMFE/yapi
encode,django-rest-framework,222000,github.com/encode/django-rest-framework
Binaryify,NeteaseCloudMusicApi,218000,github.com/Binaryify/NeteaseCloudMusicApi
littlecodersh,ItChat,218000,github.com/littlecodersh/ItChat
ccxt,ccxt,218000,github.com/ccxt/ccxt
paularmstrong,normalizr,206000,github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,200000,github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,185000,github.com/Kong/insomnia
microsoft,api-guidelines,178000,github.com/microsoft/api-guidelines
pubkey,rxdb,164000,github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,161000,github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,134000,github.com/learn-anything/learn-anything
youfou,wxpy,130000,github.com/youfou/wxpy
directus,directus,126000,github.com/directus/directus
jsdoc,jsdoc,124000,github.com/jsdoc/jsdoc
BrainJS,brain.js,123000,github.com/BrainJS/brain.js
ChainSafe,web3.js,118000,github.com/ChainSafe/web3.js
graphile,postgraphile,108000,github.com/graphile/postgraphile
micro,micro,106000,github.com/micro/micro
go-chi,chi,103000,github.com/go-chi/chi
postmanlabs,httpbin,103000,github.com/postmanlabs/httpbin
OpenAPITools,openapi-generator,102000,github.com/OpenAPITools/openapi-generator
