username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,100000,github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,98000,github.com/dotnet/AspNetCore.Docs
bitwarden,server,85000,github.com/bitwarden/server
nopSolutions,nopCommerce,67000,github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,60000,github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,47000,github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,43000,github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,25000,github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,23000,github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,21000,github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,18000,github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,15000,github.com/TrilonIO/aspnetcore-angular-universal
mjebrahimi,Awesome-Microservices-NetCore,14000,github.com/mjebrahimi/Awesome-Microservices-NetCore
TrilonIO,aspnetcore-Vue-starter,12000,github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,12000,github.com/lampo1024/DncZeus
MarimerLLC,csla,957,github.com/MarimerLLC/csla
riganti,dotvvm,568,github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,563,github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
antonioCoco,SharPyShell,488,github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,446,github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,417,github.com/brthor/Gofer.NET
YAFNET,YAFNET,411,github.com/YAFNET/YAFNET
Maarten88,rrod,377,github.com/Maarten88/rrod
SapphireDb,SapphireDb,356,github.com/SapphireDb/SapphireDb
IvanJosipovic,BlazorTable,346,github.com/IvanJosipovic/BlazorTable
Taritsyn,WebMarkupMin,336,github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,302,github.com/chsakell/aspnet-core-identity
EEParker,aspnetcore-vueclimiddleware,298,github.com/EEParker/aspnetcore-vueclimiddleware
ALMMa,datatables.aspnet,284,github.com/ALMMa/datatables.aspnet
cornflourblue,aspnet-core-jwt-authentication-api,276,github.com/cornflourblue/aspnet-core-jwt-authentication-api
