username,repo_name,stars,repo_url
metafizzy,infinite-scroll,70000,github.com/metafizzy/infinite-scroll
ljianshu,Blog,68000,github.com/ljianshu/Blog
developit,unfetch,52000,github.com/developit/unfetch
jquery-form,form,51000,github.com/jquery-form/form
olifolkerd,tabulator,42000,github.com/olifolkerd/tabulator
Studio-42,elFinder,42000,github.com/Studio-42/elFinder
ded,reqwest,29000,github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,27000,github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
LeaVerou,bliss,23000,github.com/LeaVerou/bliss
elbywan,wretch,23000,github.com/elbywan/wretch
noelboss,featherlight,20000,github.com/noelboss/featherlight
wendux,Ajax-hook,18000,github.com/wendux/Ajax-hook
craftpip,jquery-confirm,18000,github.com/craftpip/jquery-confirm
yisainan,web-interview,17000,github.com/yisainan/web-interview
ptaoussanis,sente,16000,github.com/ptaoussanis/sente
joaomilho,Enterprise,15000,github.com/joaomilho/Enterprise
nette,tracy,15000,github.com/nette/tracy
u014427391,jeeplatform,13000,github.com/u014427391/jeeplatform
MoOx,pjax,12000,github.com/MoOx/pjax
loadingio,css-spinner,12000,github.com/loadingio/css-spinner
codingforentrepreneurs,eCommerce,12000,github.com/codingforentrepreneurs/eCommerce
danielm,uploader,11000,github.com/danielm/uploader
renderedtext,render_async,10000,github.com/renderedtext/render_async
swlib,saber,930,github.com/swlib/saber
webcreate,infinite-ajax-scroll,832,github.com/webcreate/infinite-ajax-scroll
proyecto26,RestClient,810,github.com/proyecto26/RestClient
opensource-socialnetwork,opensource-socialnetwork,806,github.com/opensource-socialnetwork/opensource-socialnetwork
rapidjs,rapid.js,707,github.com/rapidjs/rapid.js
k8w,tsrpc,602,github.com/k8w/tsrpc
csxiaoyaojianxian,JavaScriptStudy,583,github.com/csxiaoyaojianxian/JavaScriptStudy
