username,repo_name,stars,repo_url
serverless,serverless,411000,github.com/serverless/serverless
localstack,localstack,363000,github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,218000,github.com/donnemartin/data-science-ipython-notebooks
bregman-arie,devops-exercises,178000,github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,122000,github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,116000,github.com/aws/aws-cli
kubernetes-sigs,kubespray,114000,github.com/kubernetes-sigs/kubespray
pulumi,pulumi,104000,github.com/pulumi/pulumi
donnemartin,awesome-aws,98000,github.com/donnemartin/awesome-aws
apereo,cas,90000,github.com/apereo/cas
mozilla,sops,85000,github.com/mozilla/sops
aws-amplify,amplify-js,85000,github.com/aws-amplify/amplify-js
aws,chalice,84000,github.com/aws/chalice
apex,up,84000,github.com/apex/up
aws,serverless-application-model,82000,github.com/aws/serverless-application-model
google,go-cloud,81000,github.com/google/go-cloud
caprover,caprover,78000,github.com/caprover/caprover
aws,aws-cdk,78000,github.com/aws/aws-cdk
aws,aws-sdk-go,72000,github.com/aws/aws-sdk-go
angristan,openvpn-install,70000,github.com/angristan/openvpn-install
boto,boto3,68000,github.com/boto/boto3
aws,aws-sdk-js,68000,github.com/aws/aws-sdk-js
hashicorp,terraform-provider-aws,65000,github.com/hashicorp/terraform-provider-aws
awslabs,aws-shell,63000,github.com/awslabs/aws-shell
aws,amazon-sagemaker-examples,62000,github.com/aws/amazon-sagemaker-examples
GoogleCloudPlatform,terraformer,60000,github.com/GoogleCloudPlatform/terraformer
aws,aws-sam-cli,58000,github.com/aws/aws-sam-cli
gruntwork-io,terratest,57000,github.com/gruntwork-io/terratest
donnemartin,dev-setup,56000,github.com/donnemartin/dev-setup
99designs,aws-vault,55000,github.com/99designs/aws-vault
