username,repo_name,stars,repo_url
amphp,amp,34000,github.com/amphp/amp
danog,MadelineProto,17000,github.com/danog/MadelineProto
amphp,http-server,11000,github.com/amphp/http-server
unreal4u,telegram-api,679,github.com/unreal4u/telegram-api
amphp,http-client,582,github.com/amphp/http-client
amphp,parallel,526,github.com/amphp/parallel
php-service-bus,service-bus,304,github.com/php-service-bus/service-bus
amphp,mysql,251,github.com/amphp/mysql
amphp,byte-stream,249,github.com/amphp/byte-stream
amphp,parallel-functions,199,github.com/amphp/parallel-functions
amphp,process,143,github.com/amphp/process
amphp,socket,137,github.com/amphp/socket
amphp,redis,118,github.com/amphp/redis
kelunik,acme,105,github.com/kelunik/acme
amphp,dns,96,github.com/amphp/dns
amphp,websocket-client,93,github.com/amphp/websocket-client
PeeHaa,mailgrab,91,github.com/PeeHaa/mailgrab
amphp,sync,85,github.com/amphp/sync
jolicode,asynit,68,github.com/jolicode/asynit
amphp,websocket-server,65,github.com/amphp/websocket-server
amphp,postgres,59,github.com/amphp/postgres
amphp,file,58,github.com/amphp/file
amphp,cache,58,github.com/amphp/cache
amphp,beanstalk,55,github.com/amphp/beanstalk
amphp,serialization,54,github.com/amphp/serialization
amphp,windows-registry,54,github.com/amphp/windows-registry
amphp,hpack,52,github.com/amphp/hpack
phpinnacle,ridge,43,github.com/phpinnacle/ridge
amphp,aerys,41,github.com/amphp/aerys
Room-11,Jeeves,40,github.com/Room-11/Jeeves
