username,repo_name,stars,repo_url
flutter,flutter,1320000,github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,840000,github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,565000,github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,475000,github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,442000,github.com/google/material-design-icons
wasabeef,awesome-android-ui,416000,github.com/wasabeef/awesome-android-ui
square,okhttp,411000,github.com/square/okhttp
android,architecture-samples,397000,github.com/android/architecture-samples
square,retrofit,390000,github.com/square/retrofit
Solido,awesome-flutter,381000,github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,342000,github.com/PhilJay/MPAndroidChart
fastlane,fastlane,332000,github.com/fastlane/fastlane
shadowsocks,shadowsocks-android,320000,github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,320000,github.com/airbnb/lottie-android
bumptech,glide,319000,github.com/bumptech/glide
Trinea,android-open-project,308000,github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,300000,github.com/Blankj/AndroidUtilCode
xitu,gold-miner,297000,github.com/xitu/gold-miner
bilibili,ijkplayer,296000,github.com/bilibili/ijkplayer
zxing,zxing,286000,github.com/zxing/zxing
skylot,jadx,276000,github.com/skylot/jadx
codepath,android_guides,276000,github.com/codepath/android_guides
square,leakcanary,269000,github.com/square/leakcanary
laurent22,joplin,261000,github.com/laurent22/joplin
alibaba,fastjson,239000,github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,231000,github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,224000,github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,216000,github.com/react-native-elements/react-native-elements
google,iosched,209000,github.com/google/iosched
NativeScript,NativeScript,206000,github.com/NativeScript/NativeScript
