username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,840000,github.com/justjavac/free-programming-books-zh_CN
angular,angular,774000,github.com/angular/angular
storybookjs,storybook,658000,github.com/storybookjs/storybook
ionic-team,ionic-framework,456000,github.com/ionic-team/ionic-framework
leonardomso,33-js-concepts,447000,github.com/leonardomso/33-js-concepts
prettier,prettier,409000,github.com/prettier/prettier
SheetJS,sheetjs,280000,github.com/SheetJS/sheetjs
angular,angular-cli,250000,github.com/angular/angular-cli
angular,components,222000,github.com/angular/components
NativeScript,NativeScript,206000,github.com/NativeScript/NativeScript
Eugeny,tabby,198000,github.com/Eugeny/tabby
jhipster,generator-jhipster,190000,github.com/jhipster/generator-jhipster
pubkey,rxdb,164000,github.com/pubkey/rxdb
handsontable,handsontable,158000,github.com/handsontable/handsontable
teambit,bit,143000,github.com/teambit/bit
sweetalert2,sweetalert2,137000,github.com/sweetalert2/sweetalert2
goldbergyoni,javascript-testing-best-practices,137000,github.com/goldbergyoni/javascript-testing-best-practices
linnovate,mean,121000,github.com/linnovate/mean
codesandbox,codesandbox-client,110000,github.com/codesandbox/codesandbox-client
coreui,coreui-free-bootstrap-admin-template,110000,github.com/coreui/coreui-free-bootstrap-admin-template
PatrickJS,angular-starter,104000,github.com/PatrickJS/angular-starter
Chocobozzz,PeerTube,98000,github.com/Chocobozzz/PeerTube
nrwl,nx,91000,github.com/nrwl/nx
angular,protractor,88000,github.com/angular/protractor
OnsenUI,OnsenUI,85000,github.com/OnsenUI/OnsenUI
PatrickJS,awesome-angular,81000,github.com/PatrickJS/awesome-angular
text-mask,text-mask,81000,github.com/text-mask/text-mask
ng-bootstrap,ng-bootstrap,78000,github.com/ng-bootstrap/ng-bootstrap
NG-ZORRO,ng-zorro-antd,78000,github.com/NG-ZORRO/ng-zorro-antd
dotansimha,graphql-code-generator,78000,github.com/dotansimha/graphql-code-generator
