username,repo_name,stars,repo_url
ansible,ansible,506000,github.com/ansible/ansible
trailofbits,algo,240000,github.com/trailofbits/algo
StreisandEffect,streisand,226000,github.com/StreisandEffect/streisand
bregman-arie,devops-exercises,178000,github.com/bregman-arie/devops-exercises
kubernetes-sigs,kubespray,114000,github.com/kubernetes-sigs/kubespray
ansible,awx,103000,github.com/ansible/awx
easzlab,kubeasz,75000,github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,51000,github.com/geerlingguy/ansible-for-devops
ansible-semaphore,semaphore,45000,github.com/ansible-semaphore/semaphore
rundeck,rundeck,44000,github.com/rundeck/rundeck
geerlingguy,mac-dev-playbook,41000,github.com/geerlingguy/mac-dev-playbook
KubeOperator,KubeOperator,41000,github.com/KubeOperator/KubeOperator
Tikam02,DevOps-Guide,40000,github.com/Tikam02/DevOps-Guide
ansible-community,molecule,32000,github.com/ansible-community/molecule
clong,DetectionLab,31000,github.com/clong/DetectionLab
opendevops-cn,opendevops,29000,github.com/opendevops-cn/opendevops
welliamcao,OpsManage,28000,github.com/welliamcao/OpsManage
werf,werf,27000,github.com/werf/werf
netbootxyz,netboot.xyz,27000,github.com/netbootxyz/netboot.xyz
ansible-community,ansible-lint,26000,github.com/ansible-community/ansible-lint
dev-sec,ansible-collection-hardening,25000,github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,24000,github.com/alixaxel/chrome-aws-lambda
roots,trellis,23000,github.com/roots/trellis
litmuschaos,litmus,23000,github.com/litmuschaos/litmus
ansistrano,deploy,21000,github.com/ansistrano/deploy
openshift,openshift-ansible,20000,github.com/openshift/openshift-ansible
fboender,ansible-cmdb,20000,github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,20000,github.com/pytest-dev/pytest-testinfra
leucos,ansible-tuto,19000,github.com/leucos/ansible-tuto
Artemmkin,infrastructure-as-code-tutorial,19000,github.com/Artemmkin/infrastructure-as-code-tutorial
