username,repo_name,stars,repo_url
arendst,Tasmota,164000,github.com/arendst/Tasmota
rwaldron,johnny-five,124000,github.com/rwaldron/johnny-five
arduino,Arduino,122000,github.com/arduino/Arduino
MarlinFirmware,Marlin,120000,github.com/MarlinFirmware/Marlin
SpacehuhnTech,esp8266_deauther,91000,github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,88000,github.com/tinygo-org/tinygo
espressif,arduino-esp32,75000,github.com/espressif/arduino-esp32
hybridgroup,gobot,74000,github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,71000,github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,55000,github.com/platformio/platformio-core
bblanchon,ArduinoJson,54000,github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,48000,github.com/tzapu/WiFiManager
hybridgroup,cylon,38000,github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,34000,github.com/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,33000,github.com/blynkkk/blynk-library
arduino,arduino-cli,31000,github.com/arduino/arduino-cli
NectarJS,nectarjs,31000,github.com/NectarJS/nectarjs
olikraus,u8g2,26000,github.com/olikraus/u8g2
gioblu,PJON,26000,github.com/gioblu/PJON
1technophile,OpenMQTTGateway,24000,github.com/1technophile/OpenMQTTGateway
scottlawsonbc,audio-reactive-led-strip,22000,github.com/scottlawsonbc/audio-reactive-led-strip
isl-org,OpenBot,20000,github.com/isl-org/OpenBot
crankyoldgit,IRremoteESP8266,19000,github.com/crankyoldgit/IRremoteESP8266
Serial-Studio,Serial-Studio,19000,github.com/Serial-Studio/Serial-Studio
scottbez1,splitflap,19000,github.com/scottbez1/splitflap
nRF24,RF24,18000,github.com/nRF24/RF24
stm32duino,Arduino_Core_STM32,17000,github.com/stm32duino/Arduino_Core_STM32
blinker-iot,blinker-library,16000,github.com/blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,16000,github.com/ThingPulse/esp8266-oled-ssd1306
Bodmer,TFT_eSPI,15000,github.com/Bodmer/TFT_eSPI
