username,repo_name,stars,repo_url
sindresorhus,awesome,1740000,github.com/sindresorhus/awesome
vinta,awesome-python,1060000,github.com/vinta/awesome-python
avelino,awesome-go,702000,github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,672000,github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,516000,github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,499000,github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,481000,github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,475000,github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,459000,github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,440000,github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,429000,github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,416000,github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,385000,github.com/vsouza/awesome-ios
prakhar1989,awesome-courses,384000,github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,381000,github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,363000,github.com/binhnguyennus/awesome-scalability
MunGell,awesome-for-beginners,361000,github.com/MunGell/awesome-for-beginners
fffaraz,awesome-cpp,345000,github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,334000,github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,327000,github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,305000,github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,285000,github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,285000,github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,284000,github.com/brillout/awesome-react-components
ziadoz,awesome-php,259000,github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,256000,github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,236000,github.com/goabstract/Awesome-Design-Tools
rust-unofficial,awesome-rust,225000,github.com/rust-unofficial/awesome-rust
alebcay,awesome-shell,224000,github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,221000,github.com/sindresorhus/awesome-electron
