username,repo_name,stars,repo_url
bregman-arie,devops-exercises,178000,github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,122000,github.com/ramitsurana/awesome-kubernetes
microsoft,recommenders,116000,github.com/microsoft/recommenders
Azure,azure-quickstart-templates,110000,github.com/Azure/azure-quickstart-templates
pulumi,pulumi,104000,github.com/pulumi/pulumi
mozilla,sops,85000,github.com/mozilla/sops
microsoft,computervision-recipes,81000,github.com/microsoft/computervision-recipes
google,go-cloud,81000,github.com/google/go-cloud
caprover,caprover,78000,github.com/caprover/caprover
microsoft,azuredatastudio,66000,github.com/microsoft/azuredatastudio
node-formidable,formidable,60000,github.com/node-formidable/formidable
midwayjs,midway,49000,github.com/midwayjs/midway
infracost,infracost,43000,github.com/infracost/infracost
thangchung,clean-code-dotnet,43000,github.com/thangchung/clean-code-dotnet
budtmo,docker-android,39000,github.com/budtmo/docker-android
cloud-custodian,cloud-custodian,39000,github.com/cloud-custodian/cloud-custodian
nccgroup,ScoutSuite,37000,github.com/nccgroup/ScoutSuite
simov,grant,35000,github.com/simov/grant
aquasecurity,tfsec,35000,github.com/aquasecurity/tfsec
bridgecrewio,checkov,34000,github.com/bridgecrewio/checkov
Qovery,engine,34000,github.com/Qovery/engine
Azure,azure-sdk-for-net,30000,github.com/Azure/azure-sdk-for-net
hashicorp,terraform-provider-azurerm,29000,github.com/hashicorp/terraform-provider-azurerm
Azure,azure-powershell,28000,github.com/Azure/azure-powershell
Azure,azure-cli,28000,github.com/Azure/azure-cli
Azure,MachineLearningNotebooks,27000,github.com/Azure/MachineLearningNotebooks
mlabouardy,komiser,27000,github.com/mlabouardy/komiser
APIs-guru,openapi-directory,26000,github.com/APIs-guru/openapi-directory
microsoft,SynapseML,25000,github.com/microsoft/SynapseML
smartstore,SmartStoreNET,23000,github.com/smartstore/SmartStoreNET
