username,repo_name,stars,repo_url
babel,babel,399000,github.com/babel/babel
nylas,nylas-mail,246000,github.com/nylas/nylas-mail
kriasoft,react-starter-kit,210000,github.com/kriasoft/react-starter-kit
avajs,ava,194000,github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,185000,github.com/electron-react-boilerplate/electron-react-boilerplate
swc-project,swc,168000,github.com/swc-project/swc
SimulatedGREG,electron-vue,145000,github.com/SimulatedGREG/electron-vue
grab,front-end-guide,140000,github.com/grab/front-end-guide
jamiebuilds,babel-handbook,105000,github.com/jamiebuilds/babel-handbook
grommet,grommet,76000,github.com/grommet/grommet
developit,htm,72000,github.com/developit/htm
angular-fullstack,generator-angular-fullstack,61000,github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,54000,github.com/documentationjs/documentation
insin,nwb,54000,github.com/insin/nwb
egoist,poi,53000,github.com/egoist/poi
thinkjs,thinkjs,53000,github.com/thinkjs/thinkjs
ben-rogerson,twin.macro,49000,github.com/ben-rogerson/twin.macro
babel,babel-loader,46000,github.com/babel/babel-loader
transitive-bullshit,create-react-library,45000,github.com/transitive-bullshit/create-react-library
jaredpalmer,backpack,45000,github.com/jaredpalmer/backpack
duxianwei520,react,44000,github.com/duxianwei520/react
babel,minify,43000,github.com/babel/minify
fkling,astexplorer,42000,github.com/fkling/astexplorer
tleunen,babel-plugin-module-resolver,31000,github.com/tleunen/babel-plugin-module-resolver
andywer,webpack-blocks,30000,github.com/andywer/webpack-blocks
babel,babel-eslint,30000,github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,28000,github.com/kunalkapadia/express-mongoose-es6-rest-api
uidotdev,react-course,25000,github.com/uidotdev/react-course
Atyantik,react-pwa,24000,github.com/Atyantik/react-pwa
privatenumber,esbuild-loader,24000,github.com/privatenumber/esbuild-loader
