username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,981000,github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,528000,github.com/nvm-sh/nvm
junegunn,fzf,401000,github.com/junegunn/fzf
dylanaraps,pure-bash-bible,279000,github.com/dylanaraps/pure-bash-bible
mathiasbynens,dotfiles,270000,github.com/mathiasbynens/dotfiles
koalaman,shellcheck,266000,github.com/koalaman/shellcheck
LeCoupa,awesome-cheatsheets,254000,github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,241000,github.com/acmesh-official/acme.sh
alebcay,awesome-shell,224000,github.com/alebcay/awesome-shell
starship,starship,195000,github.com/starship/starship
jaywcjlove,linux-command,171000,github.com/jaywcjlove/linux-command
Nyr,openvpn-install,140000,github.com/Nyr/openvpn-install
dylanaraps,neofetch,133000,github.com/dylanaraps/neofetch
powerline,powerline,129000,github.com/powerline/powerline
shelljs,shelljs,128000,github.com/shelljs/shelljs
Bash-it,bash-it,126000,github.com/Bash-it/bash-it
jessfraz,dockerfiles,121000,github.com/jessfraz/dockerfiles
faressoft,terminalizer,120000,github.com/faressoft/terminalizer
denisidoro,navi,99000,github.com/denisidoro/navi
codota,TabNine,87000,github.com/codota/TabNine
rgcr,m-cli,86000,github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,85000,github.com/alexanderepstein/Bash-Snippets
kanaka,mal,82000,github.com/kanaka/mal
direnv,direnv,80000,github.com/direnv/direnv
skywind3000,awesome-cheatsheets,78000,github.com/skywind3000/awesome-cheatsheets
withfig,autocomplete,70000,github.com/withfig/autocomplete
angristan,openvpn-install,70000,github.com/angristan/openvpn-install
carlospolop,PEASS-ng,68000,github.com/carlospolop/PEASS-ng
Mayccoll,Gogh,64000,github.com/Mayccoll/Gogh
enquirer,enquirer,62000,github.com/enquirer/enquirer
