username,repo_name,stars,repo_url
bitcoin,bitcoin,585000,github.com/bitcoin/bitcoin
ccxt,ccxt,218000,github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,171000,github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,130000,github.com/freqtrade/freqtrade
askmike,gekko,98000,github.com/askmike/gekko
bbfamily,abu,85000,github.com/bbfamily/abu
lbryio,lbry-sdk,72000,github.com/lbryio/lbry-sdk
dvf,blockchain,64000,github.com/dvf/blockchain
yeasy,blockchain_guide,58000,github.com/yeasy/blockchain_guide
lightningnetwork,lnd,55000,github.com/lightningnetwork/lnd
butor,blackbird,54000,github.com/butor/blackbird
spesmilo,electrum,52000,github.com/spesmilo/electrum
solana-labs,solana,49000,github.com/solana-labs/solana
btcsuite,btcd,45000,github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,44000,github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,41000,github.com/bitcoinj/bitcoinj
bisq-network,bisq,37000,github.com/bisq-network/bisq
michaelgrosner,tribeca,36000,github.com/michaelgrosner/tribeca
CryptoSignal,Crypto-Signal,35000,github.com/CryptoSignal/Crypto-Signal
Scanate,EthList,35000,github.com/Scanate/EthList
RomelTorres,alpha_vantage,35000,github.com/RomelTorres/alpha_vantage
Zheaoli,awesome-coins,34000,github.com/Zheaoli/awesome-coins
coinpride,CryptoList,34000,github.com/coinpride/CryptoList
bitpay,wallet,33000,github.com/bitpay/wallet
SqueezerIO,squeezer,32000,github.com/SqueezerIO/squeezer
jesse-ai,jesse,32000,github.com/jesse-ai/jesse
Jeiwan,blockchain_go,31000,github.com/Jeiwan/blockchain_go
btcpayserver,btcpayserver,31000,github.com/btcpayserver/btcpayserver
lbryio,lbrycrd,28000,github.com/lbryio/lbrycrd
cointop-sh,cointop,27000,github.com/cointop-sh/cointop
