username,repo_name,stars,repo_url
ccxt,ccxt,218000,github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,168000,github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,161000,github.com/discordjs/discord.js
hubotio,hubot,160000,github.com/hubotio/hubot
timgrossmann,InstaPy,134000,github.com/timgrossmann/InstaPy
RasaHQ,rasa,129000,github.com/RasaHQ/rasa
gunthercox,ChatterBot,117000,github.com/gunthercox/ChatterBot
howdyai,botkit,105000,github.com/howdyai/botkit
botpress,botpress,94000,github.com/botpress/botpress
sfyc23,EverydayWechat,86000,github.com/sfyc23/EverydayWechat
leon-ai,leon,80000,github.com/leon-ai/leon
tgbot-collection,YYeTsBot,80000,github.com/tgbot-collection/YYeTsBot
EZFNDEV,EZFN-Lobbybot,69000,github.com/EZFNDEV/EZFN-Lobbybot
microsoft,ailab,68000,github.com/microsoft/ailab
microsoft,botframework-sdk,66000,github.com/microsoft/botframework-sdk
maxbbraun,trump2cash,60000,github.com/maxbbraun/trump2cash
yagop,node-telegram-bot-api,57000,github.com/yagop/node-telegram-bot-api
botman,botman,55000,github.com/botman/botman
deepmipt,DeepPavlov,55000,github.com/deepmipt/DeepPavlov
telegraf,telegraf,50000,github.com/telegraf/telegraf
axa-group,nlp.js,46000,github.com/axa-group/nlp.js
jef,streetmerchant,45000,github.com/jef/streetmerchant
ohld,igbot,41000,github.com/ohld/igbot
pedroslopez,whatsapp-web.js,38000,github.com/pedroslopez/whatsapp-web.js
Yoctol,bottender,38000,github.com/Yoctol/bottender
PokemonGoF,PokemonGo-Bot,37000,github.com/PokemonGoF/PokemonGo-Bot
snipsco,snips-nlu,36000,github.com/snipsco/snips-nlu
goq,telegram-list,33000,github.com/goq/telegram-list
orkestral,venom,33000,github.com/orkestral/venom
jesse-ai,jesse,32000,github.com/jesse-ai/jesse
