username,repo_name,stars,repo_url
CyC2018,CS-Notes,1410000,github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,588000,github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,450000,github.com/azl397985856/leetcode
x64dbg,x64dbg,376000,github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,345000,github.com/fffaraz/awesome-cpp
microsoft,calculator,230000,github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,224000,github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,211000,github.com/huihut/interview
youngyangyang04,leetcode-master,179000,github.com/youngyangyang04/leetcode-master
yuzu-emu,yuzu,167000,github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,165000,github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,154000,github.com/changkun/modern-cpp-tutorial
catchorg,Catch2,142000,github.com/catchorg/Catch2
microsoft,vcpkg,140000,github.com/microsoft/vcpkg
gabime,spdlog,130000,github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,129000,github.com/AnthonyCalandra/modern-cpp-features
ethereum,solidity,128000,github.com/ethereum/solidity
facebook,infer,127000,github.com/facebook/infer
Qv2ray,Qv2ray,126000,github.com/Qv2ray/Qv2ray
CoatiSoftware,Sourcetrail,121000,github.com/CoatiSoftware/Sourcetrail
google,tink,118000,github.com/google/tink
ssloy,tinyrenderer,116000,github.com/ssloy/tinyrenderer
antlr,antlr4,109000,github.com/antlr/antlr4
SFTtech,openage,106000,github.com/SFTtech/openage
kyleneideck,BackgroundMusic,104000,github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,100000,github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,96000,github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,89000,github.com/hmemcpy/milewski-ctfp-pdf
Ciphey,Ciphey,88000,github.com/Ciphey/Ciphey
codota,TabNine,87000,github.com/codota/TabNine
