username,repo_name,stars,repo_url
Genymobile,scrcpy,565000,github.com/Genymobile/scrcpy
neovim,neovim,483000,github.com/neovim/neovim
git,git,400000,github.com/git/git
fffaraz,awesome-cpp,345000,github.com/fffaraz/awesome-cpp
obsproject,obs-studio,320000,github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,285000,github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,267000,github.com/FFmpeg/FFmpeg
vim,vim,251000,github.com/vim/vim
ggreer,the_silver_searcher,228000,github.com/ggreer/the_silver_searcher
curl,curl,224000,github.com/curl/curl
huihut,interview,211000,github.com/huihut/interview
ruby,ruby,186000,github.com/ruby/ruby
google,flatbuffers,170000,github.com/google/flatbuffers
mpv-player,mpv,166000,github.com/mpv-player/mpv
pbatard,rufus,165000,github.com/pbatard/rufus
oracle,graal,161000,github.com/oracle/graal
radareorg,radare2,152000,github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,146000,github.com/shadowsocks/shadowsocks-libev
microsoft,vcpkg,140000,github.com/microsoft/vcpkg
allinurl,goaccess,139000,github.com/allinurl/goaccess
vurtun,nuklear,133000,github.com/vurtun/nuklear
jarun,nnn,127000,github.com/jarun/nnn
facebook,infer,127000,github.com/facebook/infer
kovidgoyal,kitty,125000,github.com/kovidgoyal/kitty
CoatiSoftware,Sourcetrail,121000,github.com/CoatiSoftware/Sourcetrail
TheAlgorithms,C,114000,github.com/TheAlgorithms/C
s-matyukevich,raspberry-pi-os,109000,github.com/s-matyukevich/raspberry-pi-os
qmk,qmk_firmware,108000,github.com/qmk/qmk_firmware
hashcat,hashcat,108000,github.com/hashcat/hashcat
jonas,tig,104000,github.com/jonas/tig
