username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,276000,github.com/CSSEGISandData/COVID-19
covid19india,covid19india-react,68000,github.com/covid19india/covid19india-react
nytimes,covid-19-data,66000,github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,63000,github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,45000,github.com/owid/covid-19-data
pcm-dpc,COVID-19,39000,github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,27000,github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,23000,github.com/disease-sh/API
geohot,corona,21000,github.com/geohot/corona
WorldHealthOrganization,app,21000,github.com/WorldHealthOrganization/app
ahmadawais,corona-cli,18000,github.com/ahmadawais/corona-cli
corona-warn-app,cwa-server,18000,github.com/corona-warn-app/cwa-server
ExpDev07,coronavirus-tracker-api,16000,github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,15000,github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,14000,github.com/mhdhejazi/CoronaTracker
neherlab,covid19_scenarios,14000,github.com/neherlab/covid19_scenarios
github,covid19-dashboard,14000,github.com/github/covid19-dashboard
pomber,covid19,12000,github.com/pomber/covid19
datasets,covid-19,11000,github.com/datasets/covid-19
FoldingAtHome,coronavirus,11000,github.com/FoldingAtHome/coronavirus
covidpass-org,covidpass,11000,github.com/covidpass-org/covidpass
chrismattmann,tika-python,11000,github.com/chrismattmann/tika-python
chandrikadeb7,Face-Mask-Detection,11000,github.com/chandrikadeb7/Face-Mask-Detection
lindawangg,COVID-Net,10000,github.com/lindawangg/COVID-Net
cyberman54,ESP32-Paxcounter,937,github.com/cyberman54/ESP32-Paxcounter
ImperialCollegeLondon,covid19model,930,github.com/ImperialCollegeLondon/covid19model
UCSD-AI4H,COVID-CT,893,github.com/UCSD-AI4H/COVID-CT
nychealth,coronavirus-data,865,github.com/nychealth/coronavirus-data
MoH-Malaysia,covid19-public,847,github.com/MoH-Malaysia/covid19-public
makers-for-life,makair,751,github.com/makers-for-life/makair
