username,repo_name,stars,repo_url
electron,electron,987000,github.com/electron/electron
FiloSottile,mkcert,325000,github.com/FiloSottile/mkcert
microsoft,playwright,302000,github.com/microsoft/playwright
ovity,octotree,216000,github.com/ovity/octotree
iamadamdev,bypass-paywalls-chrome,198000,github.com/iamadamdev/bypass-paywalls-chrome
segmentio,nightmare,190000,github.com/segmentio/nightmare
jaywcjlove,linux-command,171000,github.com/jaywcjlove/linux-command
checkly,headless-recorder,137000,github.com/checkly/headless-recorder
prisma-archive,chromeless,132000,github.com/prisma-archive/chromeless
google,WebFundamentals,123000,github.com/google/WebFundamentals
casesandberg,react-color,102000,github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,90000,github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,82000,github.com/crimx/ext-saladict
uBlock-LLC,uBlock,81000,github.com/uBlock-LLC/uBlock
chromedp,chromedp,69000,github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,65000,github.com/alvarcarto/url-to-pdf-api
MetaMask,metamask-extension,59000,github.com/MetaMask/metamask-extension
kangvcar,InfoSpider,59000,github.com/kangvcar/InfoSpider
Kenshin,simpread,51000,github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,51000,github.com/yujiosaka/headless-chrome-crawler
MontFerret,ferret,47000,github.com/MontFerret/ferret
firefox-devtools,debugger,46000,github.com/firefox-devtools/debugger
themerdev,themer,44000,github.com/themerdev/themer
burtonator,polar-bookshelf,44000,github.com/burtonator/polar-bookshelf
nieweidong,fetool,43000,github.com/nieweidong/fetool
gildas-lormeau,SingleFile,42000,github.com/gildas-lormeau/SingleFile
moonD4rk,HackBrowserData,37000,github.com/moonD4rk/HackBrowserData
brookhong,Surfingkeys,37000,github.com/brookhong/Surfingkeys
bilibili-helper,bilibili-helper-o,37000,github.com/bilibili-helper/bilibili-helper-o
melonjs,melonJS,36000,github.com/melonjs/melonJS
