username,repo_name,stars,repo_url
metabase,metabase,264000,github.com/metabase/metabase
eclipse,deeplearning4j,122000,github.com/eclipse/deeplearning4j
LightTable,LightTable,116000,github.com/LightTable/LightTable
kanaka,mal,82000,github.com/kanaka/mal
lk-geimfari,awesomo,81000,github.com/lk-geimfari/awesomo
logseq,logseq,70000,github.com/logseq/logseq
penpot,penpot,51000,github.com/penpot/penpot
tonsky,datascript,44000,github.com/tonsky/datascript
reagent-project,reagent,43000,github.com/reagent-project/reagent
riemann,riemann,41000,github.com/riemann/riemann
weavejester,compojure,39000,github.com/weavejester/compojure
bbatsov,clojure-style-guide,37000,github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,36000,github.com/izhangzhihao/intellij-rainbow-brackets
ring-clojure,ring,34000,github.com/ring-clojure/ring
status-im,status-react,33000,github.com/status-im/status-react
clojure-emacs,cider,32000,github.com/clojure-emacs/cider
bhauman,lein-figwheel,29000,github.com/bhauman/lein-figwheel
viebel,klipse,28000,github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,28000,github.com/tallesl/Rich-Hickey-fanclub
twosigma,beakerx,26000,github.com/twosigma/beakerx
pedestal,pedestal,24000,github.com/pedestal/pedestal
clj-commons,aleph,24000,github.com/clj-commons/aleph
babashka,babashka,24000,github.com/babashka/babashka
weavejester,hiccup,23000,github.com/weavejester/hiccup
razum2um,awesome-clojure,23000,github.com/razum2um/awesome-clojure
http-kit,http-kit,22000,github.com/http-kit/http-kit
onyx-platform,onyx,20000,github.com/onyx-platform/onyx
defold,defold,19000,github.com/defold/defold
anmonteiro,lumo,19000,github.com/anmonteiro/lumo
boot-clj,boot,17000,github.com/boot-clj/boot
