username,repo_name,stars,repo_url
realm,SwiftLint,153000,github.com/realm/SwiftLint
facebook,infer,127000,github.com/facebook/infer
analysis-tools-dev,static-analysis,90000,github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,63000,github.com/checkstyle/checkstyle
Kristories,awesome-guidelines,63000,github.com/Kristories/awesome-guidelines
SonarSource,sonarqube,62000,github.com/SonarSource/sonarqube
facebook,pyre-check,56000,github.com/facebook/pyre-check
reviewdog,reviewdog,44000,github.com/reviewdog/reviewdog
simplecov-ruby,simplecov,43000,github.com/simplecov-ruby/simplecov
detekt,detekt,41000,github.com/detekt/detekt
import-js,eslint-plugin-import,36000,github.com/import-js/eslint-plugin-import
PyCQA,pylint,36000,github.com/PyCQA/pylint
phpro,grumphp,36000,github.com/phpro/grumphp
pmd,pmd,36000,github.com/pmd/pmd
htmlhint,HTMLHint,27000,github.com/htmlhint/HTMLHint
kucherenko,jscpd,23000,github.com/kucherenko/jscpd
codeclimate,codeclimate,23000,github.com/codeclimate/codeclimate
trekhleb,state-of-the-art-shitcode,21000,github.com/trekhleb/state-of-the-art-shitcode
uber,piranha,18000,github.com/uber/piranha
wemake-services,wemake-python-styleguide,17000,github.com/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,12000,github.com/ehmicky/cross-platform-node-guide
urish,typewiz,11000,github.com/urish/typewiz
Tencent,feflow,11000,github.com/Tencent/feflow
jakzal,phpqa,950,github.com/jakzal/phpqa
joshuaclayton,unused,876,github.com/joshuaclayton/unused
imgbot,Imgbot,822,github.com/imgbot/Imgbot
SonarSource,SonarTS,772,github.com/SonarSource/SonarTS
pdepend,pdepend,771,github.com/pdepend/pdepend
SonarSource,SonarJS,764,github.com/SonarSource/SonarJS
bufferapp,android-guidelines,758,github.com/bufferapp/android-guidelines
