username,repo_name,stars,repo_url
ovity,octotree,216000,github.com/ovity/octotree
gitpod-io,gitpod,57000,github.com/gitpod-io/gitpod
danger,danger,46000,github.com/danger/danger
reviewdog,reviewdog,44000,github.com/reviewdog/reviewdog
danger,danger-js,40000,github.com/danger/danger-js
joho,awesome-code-review,32000,github.com/joho/awesome-code-review
houndci,hound,19000,github.com/houndci/hound
ajinabraham,nodejsscan,19000,github.com/ajinabraham/nodejsscan
mbj,mutant,18000,github.com/mbj/mutant
microsoft,vscode-pull-request-github,17000,github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,14000,github.com/crev-dev/cargo-crev
reviewboard,reviewboard,14000,github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,10000,github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,10000,github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,966,github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,814,github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,687,github.com/TeamCodeStream/codestream
enlightn,enlightn,565,github.com/enlightn/enlightn
uwolfer,gerrit-intellij-plugin,426,github.com/uwolfer/gerrit-intellij-plugin
palantir,policy-bot,422,github.com/palantir/policy-bot
bsamseth,cpp-project,420,github.com/bsamseth/cpp-project
mookid,diffr,385,github.com/mookid/diffr
mgreiler,code-review-checklist,338,github.com/mgreiler/code-review-checklist
sjparkinson,static-review,328,github.com/sjparkinson/static-review
dpnishant,raptor,325,github.com/dpnishant/raptor
burrito-brothers,shiba,286,github.com/burrito-brothers/shiba
charignon,github-review,256,github.com/charignon/github-review
src-d,lookout,143,github.com/src-d/lookout
uwolfer,gerrit-rest-java-client,140,github.com/uwolfer/gerrit-rest-java-client
thesp0nge,owasp-orizon,133,github.com/thesp0nge/owasp-orizon
