username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,1360000,github.com/ohmyzsh/ohmyzsh
httpie,httpie,526000,github.com/httpie/httpie
junegunn,fzf,401000,github.com/junegunn/fzf
sharkdp,bat,301000,github.com/sharkdp/bat
wagoodman,dive,282000,github.com/wagoodman/dive
BurntSushi,ripgrep,279000,github.com/BurntSushi/ripgrep
sherlock-project,sherlock,276000,github.com/sherlock-project/sherlock
chubin,cheat.sh,275000,github.com/chubin/cheat.sh
cli,cli,261000,github.com/cli/cli
angular,angular-cli,250000,github.com/angular/angular-cli
spf13,cobra,238000,github.com/spf13/cobra
alebcay,awesome-shell,224000,github.com/alebcay/awesome-shell
jesseduffield,lazygit,218000,github.com/jesseduffield/lazygit
google,python-fire,204000,github.com/google/python-fire
tqdm,tqdm,199000,github.com/tqdm/tqdm
avajs,ava,194000,github.com/avajs/ava
sharkdp,fd,194000,github.com/sharkdp/fd
vercel,pkg,191000,github.com/vercel/pkg
n8n-io,n8n,183000,github.com/n8n-io/n8n
chalk,chalk,173000,github.com/chalk/chalk
vadimdemedes,ink,171000,github.com/vadimdemedes/ink
ibraheemdev,modern-unix,170000,github.com/ibraheemdev/modern-unix
svg,svgo,169000,github.com/svg/svgo
urfave,cli,168000,github.com/urfave/cli
gpakosz,.tmux,153000,github.com/gpakosz/.tmux
allinurl,goaccess,139000,github.com/allinurl/goaccess
FormidableLabs,webpack-dashboard,138000,github.com/FormidableLabs/webpack-dashboard
infinitered,ignite,132000,github.com/infinitered/ignite
jarun,nnn,127000,github.com/jarun/nnn
pomber,git-history,127000,github.com/pomber/git-history
