username,repo_name,stars,repo_url
vercel,next.js,760000,github.com/vercel/next.js
rust-lang,rust,600000,github.com/rust-lang/rust
webpack,webpack,597000,github.com/webpack/webpack
sveltejs,svelte,518000,github.com/sveltejs/svelte
gatsbyjs,gatsby,516000,github.com/gatsbyjs/gatsby
babel,babel,399000,github.com/babel/babel
parcel-bundler,parcel,394000,github.com/parcel-bundler/parcel
JetBrains,kotlin,392000,github.com/JetBrains/kotlin
evanw,esbuild,285000,github.com/evanw/esbuild
markedjs,marked,262000,github.com/markedjs/marked
vlang,v,258000,github.com/vlang/v
vercel,pkg,191000,github.com/vercel/pkg
v8,v8,186000,github.com/v8/v8
swc-project,swc,168000,github.com/swc-project/swc
AssemblyScript,assemblyscript,129000,github.com/AssemblyScript/assemblyscript
Konloch,bytecode-viewer,125000,github.com/Konloch/bytecode-viewer
nim-lang,Nim,121000,github.com/nim-lang/Nim
ziglang,zig,109000,github.com/ziglang/zig
gopherjs,gopherjs,106000,github.com/gopherjs/gopherjs
RustPython,RustPython,97000,github.com/RustPython/RustPython
compiler-explorer,compiler-explorer,96000,github.com/compiler-explorer/compiler-explorer
apache,tvm,73000,github.com/apache/tvm
JetBrains,kotlin-native,71000,github.com/JetBrains/kotlin-native
numba,numba,70000,github.com/numba/numba
elm,compiler,66000,github.com/elm/compiler
aalhour,awesome-compilers,63000,github.com/aalhour/awesome-compilers
Nuitka,Nuitka,60000,github.com/Nuitka/Nuitka
DoctorWkt,acwj,57000,github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,56000,github.com/rescript-lang/rescript-compiler
lebab,lebab,55000,github.com/lebab/lebab
