username,repo_name,stars,repo_url
localstack,localstack,363000,github.com/localstack/localstack
drone,drone,241000,github.com/drone/drone
jenkinsci,jenkins,180000,github.com/jenkinsci/jenkins
auchenberg,volkswagen,120000,github.com/auchenberg/volkswagen
openshift,origin,80000,github.com/openshift/origin
gocd,gocd,63000,github.com/gocd/gocd
concourse,concourse,60000,github.com/concourse/concourse
theonedev,onedev,48000,github.com/theonedev/onedev
buildbot,buildbot,47000,github.com/buildbot/buildbot
Strider-CD,strider,45000,github.com/Strider-CD/strider
gaia-pipeline,gaia,45000,github.com/gaia-pipeline/gaia
jenkins-x,jx,40000,github.com/jenkins-x/jx
hygieia,hygieia,37000,github.com/hygieia/hygieia
xcpretty,xcpretty,37000,github.com/xcpretty/xcpretty
ovh,cds,36000,github.com/ovh/cds
cake-build,cake,31000,github.com/cake-build/cake
iterative,cml,28000,github.com/iterative/cml
werf,werf,27000,github.com/werf/werf
ligurio,awesome-ci,27000,github.com/ligurio/awesome-ci
tox-dev,tox,25000,github.com/tox-dev/tox
dancryer,PHPCI,24000,github.com/dancryer/PHPCI
TheLartians,ModernCppStarter,23000,github.com/TheLartians/ModernCppStarter
dreamans,syncd,20000,github.com/dreamans/syncd
houndci,hound,19000,github.com/houndci/hound
shivammathur,setup-php,19000,github.com/shivammathur/setup-php
fabric8io,fabric8,18000,github.com/fabric8io/fabric8
lastbackend,lastbackend,15000,github.com/lastbackend/lastbackend
nuke-build,nuke,13000,github.com/nuke-build/nuke
FlowCI,flow-core-x,13000,github.com/FlowCI/flow-core-x
k1LoW,tbls,12000,github.com/k1LoW/tbls
